task_type,group,model,targets,r2,neg_mae,neg_rmse,neg_mape,explained_variance,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,balanced_accuracy,best_params,roc_auc_ovr,neg_mean_absolute_error,neg_root_mean_squared_error,neg_mean_absolute_percentage_error
regression,energy_mood,Ridge,"energy, valence, danceability",0.3809017130819965,-0.14666208223737265,-0.1850825359686491,-0.7066852931126402,0.38101894133210235,,,,,,,"OrderedDict({'estimator__estimator__alpha': 96.4726731665912, 'estimator__estimator__max_iter': 3346, 'estimator__estimator__random_state': 42, 'estimator__estimator__solver': 'svd', 'estimator__estimator__tol': 1.0234691522558141e-05})",,,,
regression,energy_mood,Lasso,"energy, valence, danceability",0.3844960929902714,-0.14661635937554165,-0.1845871626707449,-0.7041319303588471,0.38459382086641414,,,,,,,"OrderedDict({'estimator__estimator__alpha': 0.004666540870368649, 'estimator__estimator__max_iter': 4675, 'estimator__estimator__random_state': 42, 'estimator__estimator__selection': 'cyclic', 'estimator__estimator__tol': 3.663241571989203e-05})",,,,
regression,energy_mood,ElasticNet,"energy, valence, danceability",0.38497904142667233,-0.14668703686020937,-0.18430363782283632,-0.7041669834740073,0.3850725620819751,,,,,,,"OrderedDict({'estimator__estimator__alpha': 0.009070071893675197, 'estimator__estimator__l1_ratio': 0.5032127532499959, 'estimator__estimator__max_iter': 1000, 'estimator__estimator__random_state': 42, 'estimator__estimator__selection': 'cyclic', 'estimator__estimator__tol': 0.01})",,,,
regression,energy_mood,Random Forest,"energy, valence, danceability",0.42736298519116583,-0.1419532884108444,-0.1772843479123918,-0.6977531084225258,0.4279304632934166,,,,,,,"OrderedDict({'estimator__estimator__max_depth': 12, 'estimator__estimator__max_features': None, 'estimator__estimator__min_samples_leaf': 1, 'estimator__estimator__min_samples_split': 7, 'estimator__estimator__n_estimators': 494, 'estimator__estimator__random_state': 42})",,,,
regression,energy_mood,SVM,"energy, valence, danceability",0.44883827291031636,-0.13743517928971627,-0.1740612767190974,-0.6601191936171654,0.4491646187764919,,,,,,,"OrderedDict({'estimator__estimator__C': 0.3379330312762051, 'estimator__estimator__epsilon': 0.07782496988440246, 'estimator__estimator__gamma': 0.0031631578374209358})",,,,
regression,production,Ridge,"loudness, acousticness, instrumentalness, liveness",0.25542075817381615,-0.8278580171989873,-1.7908103086612788,-21051013692983.39,0.2559477013748971,,,,,,,"OrderedDict({'estimator__estimator__alpha': 100.0, 'estimator__estimator__max_iter': 2469, 'estimator__estimator__random_state': 42, 'estimator__estimator__solver': 'lsqr', 'estimator__estimator__tol': 0.01})",,,,
regression,production,Lasso,"loudness, acousticness, instrumentalness, liveness",0.259984106756331,-0.8297120441784036,-1.7980808891694047,-21548022288875.63,0.26070124065655853,,,,,,,"OrderedDict({'estimator__estimator__alpha': 0.006871754932104164, 'estimator__estimator__max_iter': 5000, 'estimator__estimator__random_state': 42, 'estimator__estimator__selection': 'cyclic', 'estimator__estimator__tol': 0.01})",,,,
regression,production,ElasticNet,"loudness, acousticness, instrumentalness, liveness",0.2602546232100381,-0.8302992976332656,-1.7949312226984762,-21590897144783.594,0.2610888431078553,,,,,,,"OrderedDict({'estimator__estimator__alpha': 0.009984072398884016, 'estimator__estimator__l1_ratio': 0.770989187385935, 'estimator__estimator__max_iter': 5000, 'estimator__estimator__random_state': 42, 'estimator__estimator__selection': 'cyclic', 'estimator__estimator__tol': 0.01})",,,,
regression,production,Random Forest,"loudness, acousticness, instrumentalness, liveness",0.2945260941146098,-0.8094960921768386,-1.7357885887803373,-22249040027497.73,0.295378396085075,,,,,,,"OrderedDict({'estimator__estimator__max_depth': 19, 'estimator__estimator__max_features': None, 'estimator__estimator__min_samples_leaf': 6, 'estimator__estimator__min_samples_split': 8, 'estimator__estimator__n_estimators': 500, 'estimator__estimator__random_state': 42})",,,,
regression,production,SVM,"loudness, acousticness, instrumentalness, liveness",0.2632215281978111,-0.8150229665330972,-1.7965209439931047,-17490810484909.725,0.27106003581864013,,,,,,,"OrderedDict({'estimator__estimator__C': 1.5845939728167882, 'estimator__estimator__epsilon': 0.10600693892854528, 'estimator__estimator__gamma': 0.0008876253806425717})",,,,
