task_type,group,model,targets,r2,neg_mae,neg_rmse,neg_mape,explained_variance,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,balanced_accuracy,best_params,roc_auc_ovr,neg_mean_absolute_error,neg_root_mean_squared_error,neg_mean_absolute_percentage_error
regression,energy_mood,Ridge,"energy, valence, danceability",0.39031004128448865,-0.14242445639790843,-0.18294451006741,-0.6714402635346578,0.3908123008871991,,,,,,,"OrderedDict([('estimator__estimator__alpha', 0.10168587136004645), ('estimator__estimator__solver', 'sag')])",,,,
regression,energy_mood,Lasso,"energy, valence, danceability",0.38096203600037787,-0.1470819322247975,-0.18475460614229214,-0.7215618011650361,0.38170905114282866,,,,,,,"OrderedDict([('estimator__estimator__alpha', 0.00882459959035799), ('estimator__estimator__selection', 'random')])",,,,
regression,energy_mood,ElasticNet,"energy, valence, danceability",0.39026511342784115,-0.1447549595133946,-0.1833001369887337,-0.6983358722975105,0.3908700232049194,,,,,,,"OrderedDict([('estimator__estimator__alpha', 0.0507035174737579), ('estimator__estimator__l1_ratio', 0.1), ('estimator__estimator__selection', 'cyclic')])",,,,
regression,energy_mood,Random Forest,"energy, valence, danceability",0.4116819182080301,-0.141535666252114,-0.18001606814658583,-0.7284595076288775,0.41322475911749385,,,,,,,"OrderedDict([('estimator__estimator__max_depth', 20), ('estimator__estimator__max_features', None), ('estimator__estimator__min_samples_leaf', 3), ('estimator__estimator__min_samples_split', 2), ('estimator__estimator__n_estimators', 300)])",,,,
regression,energy_mood,XGBoost,"energy, valence, danceability",0.4425835096532203,-0.13621025306165332,-0.17485872923016174,-0.6897638777606749,0.4435808106567866,,,,,,,"OrderedDict([('estimator__estimator__colsample_bytree', 0.7466033465179236), ('estimator__estimator__gamma', 0.0014288498643380105), ('estimator__estimator__learning_rate', 0.01), ('estimator__estimator__max_depth', 8), ('estimator__estimator__n_estimators', 600), ('estimator__estimator__subsample', 0.6)])",,,,
regression,energy_mood,SVM,"energy, valence, danceability",0.43611910439797197,-0.13671520458833006,-0.1754714927113744,-0.6780711245320136,0.4366085628623327,,,,,,,"OrderedDict([('estimator__estimator__C', 0.43029838875502086), ('estimator__estimator__epsilon', 0.10576496697974973), ('estimator__estimator__gamma', 0.002187352210616986)])",,,,
regression,production,Ridge,"loudness, acousticness, instrumentalness, liveness",0.2927153174565501,-0.8157241415662649,-1.7600085206354883,-20466090066234.387,0.29340982335134813,,,,,,,"OrderedDict([('estimator__estimator__alpha', 8.782112040908979), ('estimator__estimator__solver', 'cholesky')])",,,,
regression,production,Lasso,"loudness, acousticness, instrumentalness, liveness",0.28821258404181926,-0.8173066531045823,-1.7606191581505446,-20849423797436.625,0.2890971949661597,,,,,,,"OrderedDict([('estimator__estimator__alpha', 0.00953096622067278), ('estimator__estimator__selection', 'cyclic')])",,,,
regression,production,ElasticNet,"loudness, acousticness, instrumentalness, liveness",0.2887216055877744,-0.8161429788260934,-1.7586983853487783,-20601999569151.996,0.2895804556988114,,,,,,,"OrderedDict([('estimator__estimator__alpha', 0.008458200900413649), ('estimator__estimator__l1_ratio', 1.0), ('estimator__estimator__selection', 'random')])",,,,
regression,production,Random Forest,"loudness, acousticness, instrumentalness, liveness",0.2949654405170726,-0.8023592780716791,-1.767017847349983,-20207524960128.46,0.2955050628530602,,,,,,,"OrderedDict([('estimator__estimator__max_depth', 20), ('estimator__estimator__max_features', None), ('estimator__estimator__min_samples_leaf', 7), ('estimator__estimator__min_samples_split', 7), ('estimator__estimator__n_estimators', 297)])",,,,
